Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"RNPEP","Arginyl Aminopeptidase","Protein Coding","59","GC01P201982","0.77","/cgi-bin/carddisp.pl?gene=RNPEP"
"BLVRB","Biliverdin Reductase B","Protein Coding","59","GC19M040447","0.77","/cgi-bin/carddisp.pl?gene=BLVRB"
"GRIN3B","Glutamate Ionotropic Receptor NMDA Type Subunit 3B","Protein Coding","59","GC19P001000","0.77","/cgi-bin/carddisp.pl?gene=GRIN3B"
"RPN2","Ribophorin II","Protein Coding","59","GC20P037178","0.77","/cgi-bin/carddisp.pl?gene=RPN2"
"TNFRSF10C","TNF Receptor Superfamily Member 10c","Protein Coding","59","GC08P023085","0.77","/cgi-bin/carddisp.pl?gene=TNFRSF10C"
"WWTR1","WW Domain Containing Transcription Regulator 1","Protein Coding","59","GC03M149517","0.77","/cgi-bin/carddisp.pl?gene=WWTR1"
"SSB","Sjogren Syndrome Antigen B","Protein Coding","59","GC02P169791","0.77","/cgi-bin/carddisp.pl?gene=SSB"
"LGR5","Leucine Rich Repeat Containing G Protein-Coupled Receptor 5","Protein Coding","59","GC12P071439","0.77","/cgi-bin/carddisp.pl?gene=LGR5"
"TNFSF4","Tumor Necrosis Factor Superfamily Member 4","Protein Coding","59","GC01M173152","0.77","/cgi-bin/carddisp.pl?gene=TNFSF4"
"KMT2A","Lysine Methyltransferase 2A","Protein Coding","59","GC11P118436","0.77","/cgi-bin/carddisp.pl?gene=KMT2A"
"PMAIP1","Phorbol-12-Myristate-13-Acetate-Induced Protein 1","Protein Coding","59","GC18P059899","0.77","/cgi-bin/carddisp.pl?gene=PMAIP1"
"DAZL","Deleted In Azoospermia Like","Protein Coding","59","GC03M016586","0.77","/cgi-bin/carddisp.pl?gene=DAZL"
"STMN2","Stathmin 2","Protein Coding","59","GC08P079610","0.77","/cgi-bin/carddisp.pl?gene=STMN2"
"MGAT5","Mannosyl (Alpha-1,6-)-Glycoprotein Beta-1,6-N-Acetyl-Glucosaminyltransferase","Protein Coding","59","GC02P134119","0.77","/cgi-bin/carddisp.pl?gene=MGAT5"
"CRMP1","Collapsin Response Mediator Protein 1","Protein Coding","59","GC04M005815","0.77","/cgi-bin/carddisp.pl?gene=CRMP1"
"KIR3DL1","Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Long Cytoplasmic Tail 1","Protein Coding","59","GC19P054954","0.77","/cgi-bin/carddisp.pl?gene=KIR3DL1"
"SLC25A22","Solute Carrier Family 25 Member 22","Protein Coding","59","GC11M000791","0.77","/cgi-bin/carddisp.pl?gene=SLC25A22"
"EIF4G2","Eukaryotic Translation Initiation Factor 4 Gamma 2","Protein Coding","58","GC11M010775","0.77","/cgi-bin/carddisp.pl?gene=EIF4G2"
"PSMC6","Proteasome 26S Subunit, ATPase 6","Protein Coding","58","GC14P052707","0.77","/cgi-bin/carddisp.pl?gene=PSMC6"
"CALU","Calumenin","Protein Coding","58","GC07P128739","0.77","/cgi-bin/carddisp.pl?gene=CALU"
"LRPPRC","Leucine Rich Pentatricopeptide Repeat Containing","Protein Coding","58","GC02M043850","0.77","/cgi-bin/carddisp.pl?gene=LRPPRC"
"HAND2","Heart And Neural Crest Derivatives Expressed 2","Protein Coding","58","GC04M173524","0.77","/cgi-bin/carddisp.pl?gene=HAND2"
"DHX9","DExH-Box Helicase 9","Protein Coding","58","GC01P182839","0.77","/cgi-bin/carddisp.pl?gene=DHX9"
"IFNA1","Interferon Alpha 1","Protein Coding","57","GC09P021437","0.77","/cgi-bin/carddisp.pl?gene=IFNA1"
"RFX1","Regulatory Factor X1","Protein Coding","57","GC19M013933","0.77","/cgi-bin/carddisp.pl?gene=RFX1"
"PSMD1","Proteasome 26S Subunit, Non-ATPase 1","Protein Coding","57","GC02P231056","0.77","/cgi-bin/carddisp.pl?gene=PSMD1"
"WSB1","WD Repeat And SOCS Box Containing 1","Protein Coding","57","GC17P027294","0.77","/cgi-bin/carddisp.pl?gene=WSB1"
"PDLIM5","PDZ And LIM Domain 5","Protein Coding","57","GC04P094451","0.77","/cgi-bin/carddisp.pl?gene=PDLIM5"
"EIF6","Eukaryotic Translation Initiation Factor 6","Protein Coding","57","GC20M035278","0.77","/cgi-bin/carddisp.pl?gene=EIF6"
"CSE1L","Chromosome Segregation 1 Like","Protein Coding","57","GC20P049046","0.77","/cgi-bin/carddisp.pl?gene=CSE1L"
"MEIS2","Meis Homeobox 2","Protein Coding","57","GC15M036889","0.77","/cgi-bin/carddisp.pl?gene=MEIS2"
"SMC2","Structural Maintenance Of Chromosomes 2","Protein Coding","57","GC09P104094","0.77","/cgi-bin/carddisp.pl?gene=SMC2"
"DDX18","DEAD-Box Helicase 18","Protein Coding","57","GC02P117853","0.77","/cgi-bin/carddisp.pl?gene=DDX18"
"DKK3","Dickkopf WNT Signaling Pathway Inhibitor 3","Protein Coding","57","GC11M011984","0.77","/cgi-bin/carddisp.pl?gene=DKK3"
"EEF1G","Eukaryotic Translation Elongation Factor 1 Gamma","Protein Coding","56","GC11M062560","0.77","/cgi-bin/carddisp.pl?gene=EEF1G"
"RASSF5","Ras Association Domain Family Member 5","Protein Coding","56","GC01P206507","0.77","/cgi-bin/carddisp.pl?gene=RASSF5"
"GRIN3A","Glutamate Ionotropic Receptor NMDA Type Subunit 3A","Protein Coding","56","GC09M101569","0.77","/cgi-bin/carddisp.pl?gene=GRIN3A"
"CIC","Capicua Transcriptional Repressor","Protein Coding","56","GC19P042268","0.77","/cgi-bin/carddisp.pl?gene=CIC"
"CLASP2","Cytoplasmic Linker Associated Protein 2","Protein Coding","56","GC03M033537","0.77","/cgi-bin/carddisp.pl?gene=CLASP2"
"HNRNPH3","Heterogeneous Nuclear Ribonucleoprotein H3","Protein Coding","56","GC10P068331","0.77","/cgi-bin/carddisp.pl?gene=HNRNPH3"
"STRA6","Stimulated By Retinoic Acid 6","Protein Coding","56","GC15M074179","0.77","/cgi-bin/carddisp.pl?gene=STRA6"
"HSPB2","Heat Shock Protein Family B (Small) Member 2","Protein Coding","56","GC11P111913","0.77","/cgi-bin/carddisp.pl?gene=HSPB2"
"PENK","Proenkephalin","Protein Coding","56","GC08M056436","0.77","/cgi-bin/carddisp.pl?gene=PENK"
"AGFG1","ArfGAP With FG Repeats 1","Protein Coding","56","GC02P227473","0.77","/cgi-bin/carddisp.pl?gene=AGFG1"
"XRCC3","X-Ray Repair Cross Complementing 3","Protein Coding","56","GC14M103697","0.77","/cgi-bin/carddisp.pl?gene=XRCC3"
"KHSRP","KH-Type Splicing Regulatory Protein","Protein Coding","56","GC19M006413","0.77","/cgi-bin/carddisp.pl?gene=KHSRP"
"IMMT","Inner Membrane Mitochondrial Protein","Protein Coding","56","GC02M086144","0.77","/cgi-bin/carddisp.pl?gene=IMMT"
"DEGS1","Delta 4-Desaturase, Sphingolipid 1","Protein Coding","56","GC01P224175","0.77","/cgi-bin/carddisp.pl?gene=DEGS1"
"ARC","Activity Regulated Cytoskeleton Associated Protein","Protein Coding","55","GC08M142611","0.77","/cgi-bin/carddisp.pl?gene=ARC"
"BLZF1","Basic Leucine Zipper Nuclear Factor 1","Protein Coding","55","GC01P169337","0.77","/cgi-bin/carddisp.pl?gene=BLZF1"
"FAT4","FAT Atypical Cadherin 4","Protein Coding","55","GC04P125315","0.77","/cgi-bin/carddisp.pl?gene=FAT4"
"AUP1","Ancient Ubiquitous Protein 1","Protein Coding","55","GC02M074526","0.77","/cgi-bin/carddisp.pl?gene=AUP1"
"ERLIN2","ER Lipid Raft Associated 2","Protein Coding","55","GC08P037736","0.77","/cgi-bin/carddisp.pl?gene=ERLIN2"
"EML4","Echinoderm Microtubule Associated Protein Like 4","Protein Coding","55","GC02P042131","0.77","/cgi-bin/carddisp.pl?gene=EML4"
"ACTL6A","Actin Like 6A","Protein Coding","55","GC03P179562","0.77","/cgi-bin/carddisp.pl?gene=ACTL6A"
"MADD","MAP Kinase Activating Death Domain","Protein Coding","55","GC11P047290","0.77","/cgi-bin/carddisp.pl?gene=MADD"
"NDRG2","NDRG Family Member 2","Protein Coding","55","GC14M021016","0.77","/cgi-bin/carddisp.pl?gene=NDRG2"
"EMP3","Epithelial Membrane Protein 3","Protein Coding","55","GC19P048321","0.77","/cgi-bin/carddisp.pl?gene=EMP3"
"XCL1","X-C Motif Chemokine Ligand 1","Protein Coding","55","GC01P168545","0.77","/cgi-bin/carddisp.pl?gene=XCL1"
"TTF2","Transcription Termination Factor 2","Protein Coding","55","GC01P117060","0.77","/cgi-bin/carddisp.pl?gene=TTF2"
"UBE4A","Ubiquitination Factor E4A","Protein Coding","55","GC11P118359","0.77","/cgi-bin/carddisp.pl?gene=UBE4A"
"HIST4H4","Histone Cluster 4 H4","Protein Coding","55","GC12M014767","0.77","/cgi-bin/carddisp.pl?gene=HIST4H4"
"SLC9A9","Solute Carrier Family 9 Member A9","Protein Coding","55","GC03M143265","0.77","/cgi-bin/carddisp.pl?gene=SLC9A9"
"SFXN1","Sideroflexin 1","Protein Coding","55","GC05P175477","0.77","/cgi-bin/carddisp.pl?gene=SFXN1"
"RTN1","Reticulon 1","Protein Coding","55","GC14M059595","0.77","/cgi-bin/carddisp.pl?gene=RTN1"
"MGAT5B","Mannosyl (Alpha-1,6-)-Glycoprotein Beta-1,6-N-Acetyl-Glucosaminyltransferase, Isozyme B","Protein Coding","55","GC17P076868","0.77","/cgi-bin/carddisp.pl?gene=MGAT5B"
"SCAMP3","Secretory Carrier Membrane Protein 3","Protein Coding","54","GC01M155255","0.77","/cgi-bin/carddisp.pl?gene=SCAMP3"
"MCM10","Minichromosome Maintenance 10 Replication Initiation Factor","Protein Coding","54","GC10P013161","0.77","/cgi-bin/carddisp.pl?gene=MCM10"
"ZW10","Zw10 Kinetochore Protein","Protein Coding","54","GC11M113637","0.77","/cgi-bin/carddisp.pl?gene=ZW10"
"NXPH1","Neurexophilin 1","Protein Coding","54","GC07P008440","0.77","/cgi-bin/carddisp.pl?gene=NXPH1"
"POGZ","Pogo Transposable Element With ZNF Domain","Protein Coding","54","GC01M151375","0.77","/cgi-bin/carddisp.pl?gene=POGZ"
"AGO1","Argonaute 1, RISC Catalytic Component","Protein Coding","54","GC01P035869","0.77","/cgi-bin/carddisp.pl?gene=AGO1"
"KIR2DL3","Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 3","Protein Coding","54","GC19P054970","0.77","/cgi-bin/carddisp.pl?gene=KIR2DL3"
"TTC21B","Tetratricopeptide Repeat Domain 21B","Protein Coding","53","GC02M165905","0.77","/cgi-bin/carddisp.pl?gene=TTC21B"
"NACA","Nascent Polypeptide-Associated Complex Alpha Subunit","Protein Coding","53","GC12M056712","0.77","/cgi-bin/carddisp.pl?gene=NACA"
"PDC","Phosducin","Protein Coding","53","GC01M186412","0.77","/cgi-bin/carddisp.pl?gene=PDC"
"COG5","Component Of Oligomeric Golgi Complex 5","Protein Coding","53","GC07M107201","0.77","/cgi-bin/carddisp.pl?gene=COG5"
"SFXN3","Sideroflexin 3","Protein Coding","53","GC10P101031","0.77","/cgi-bin/carddisp.pl?gene=SFXN3"
"MXD1","MAX Dimerization Protein 1","Protein Coding","53","GC02P069878","0.77","/cgi-bin/carddisp.pl?gene=MXD1"
"HOXC9","Homeobox C9","Protein Coding","53","GC12P054053","0.77","/cgi-bin/carddisp.pl?gene=HOXC9"
"CLGN","Calmegin","Protein Coding","53","GC04M140388","0.77","/cgi-bin/carddisp.pl?gene=CLGN"
"DDX39A","DExD-Box Helicase 39A","Protein Coding","53","GC19M014408","0.77","/cgi-bin/carddisp.pl?gene=DDX39A"
"MAB21L1","Mab-21 Like 1","Protein Coding","52","GC13M035473","0.77","/cgi-bin/carddisp.pl?gene=MAB21L1"
"POU4F1","POU Class 4 Homeobox 1","Protein Coding","52","GC13M078598","0.77","/cgi-bin/carddisp.pl?gene=POU4F1"
"NUP205","Nucleoporin 205","Protein Coding","52","GC07P135557","0.77","/cgi-bin/carddisp.pl?gene=NUP205"
"OXR1","Oxidation Resistance 1","Protein Coding","52","GC08P106271","0.77","/cgi-bin/carddisp.pl?gene=OXR1"
"ARFGAP2","ADP Ribosylation Factor GTPase Activating Protein 2","Protein Coding","52","GC11M052247","0.77","/cgi-bin/carddisp.pl?gene=ARFGAP2"
"KIR2DL1","Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 1","Protein Coding","52","GC19P054950","0.77","/cgi-bin/carddisp.pl?gene=KIR2DL1"
"PMCH","Pro-Melanin Concentrating Hormone","Protein Coding","51","GC12M102196","0.77","/cgi-bin/carddisp.pl?gene=PMCH"
"LMAN1L","Lectin, Mannose Binding 1 Like","Protein Coding","51","GC15P074812","0.77","/cgi-bin/carddisp.pl?gene=LMAN1L"
"RAB15","RAB15, Member RAS Oncogene Family","Protein Coding","51","GC14M064945","0.77","/cgi-bin/carddisp.pl?gene=RAB15"
"TUBGCP2","Tubulin Gamma Complex Associated Protein 2","Protein Coding","51","GC10M133278","0.77","/cgi-bin/carddisp.pl?gene=TUBGCP2"
"ZMYND10","Zinc Finger MYND-Type Containing 10","Protein Coding","51","GC03M050378","0.77","/cgi-bin/carddisp.pl?gene=ZMYND10"
"KIAA0368","KIAA0368","Protein Coding","51","GC09M111360","0.77","/cgi-bin/carddisp.pl?gene=KIAA0368"
"DNAJC10","DnaJ Heat Shock Protein Family (Hsp40) Member C10","Protein Coding","51","GC02P182716","0.77","/cgi-bin/carddisp.pl?gene=DNAJC10"
"RINT1","RAD50 Interactor 1","Protein Coding","50","GC07P105532","0.77","/cgi-bin/carddisp.pl?gene=RINT1"
"CEBPZ","CCAAT/Enhancer Binding Protein Zeta","Protein Coding","50","GC02M037201","0.77","/cgi-bin/carddisp.pl?gene=CEBPZ"
"HOXD1","Homeobox D1","Protein Coding","50","GC02P176189","0.77","/cgi-bin/carddisp.pl?gene=HOXD1"
"PTPA","Protein Phosphatase 2 Phosphatase Activator","Protein Coding","50","GC09P129111","0.77","/cgi-bin/carddisp.pl?gene=PTPA"
"GRINA","Glutamate Ionotropic Receptor NMDA Type Subunit Associated Protein 1","Protein Coding","50","GC08P143990","0.77","/cgi-bin/carddisp.pl?gene=GRINA"
"TMEM33","Transmembrane Protein 33","Protein Coding","50","GC04P041937","0.77","/cgi-bin/carddisp.pl?gene=TMEM33"
"INSM2","INSM Transcriptional Repressor 2","Protein Coding","49","GC14P035534","0.77","/cgi-bin/carddisp.pl?gene=INSM2"
"SCT","Secretin","Protein Coding","49","GC11M000626","0.77","/cgi-bin/carddisp.pl?gene=SCT"
"SPATS2","Spermatogenesis Associated Serine Rich 2","Protein Coding","49","GC12P049366","0.77","/cgi-bin/carddisp.pl?gene=SPATS2"
"VEGFD","Vascular Endothelial Growth Factor D","Protein Coding","49","GC0XM015345","0.77","/cgi-bin/carddisp.pl?gene=VEGFD"
"NSD2","Nuclear Receptor Binding SET Domain Protein 2","Protein Coding","48","GC04P001872","0.77","/cgi-bin/carddisp.pl?gene=NSD2"
"JPH4","Junctophilin 4","Protein Coding","48","GC14M023568","0.77","/cgi-bin/carddisp.pl?gene=JPH4"
"YIPF4","Yip1 Domain Family Member 4","Protein Coding","48","GC02P032242","0.77","/cgi-bin/carddisp.pl?gene=YIPF4"
"ZSCAN10","Zinc Finger And SCAN Domain Containing 10","Protein Coding","48","GC16M003089","0.77","/cgi-bin/carddisp.pl?gene=ZSCAN10"
"CASD1","CAS1 Domain Containing 1","Protein Coding","47","GC07P094509","0.77","/cgi-bin/carddisp.pl?gene=CASD1"
"ATAT1","Alpha Tubulin Acetyltransferase 1","Protein Coding","47","GC06P030626","0.77","/cgi-bin/carddisp.pl?gene=ATAT1"
"ADGRL2","Adhesion G Protein-Coupled Receptor L2","Protein Coding","47","GC01P081306","0.77","/cgi-bin/carddisp.pl?gene=ADGRL2"
"HACD3","3-Hydroxyacyl-CoA Dehydratase 3","Protein Coding","45","GC15P065530","0.77","/cgi-bin/carddisp.pl?gene=HACD3"
"SAGE1","Sarcoma Antigen 1","Protein Coding","44","GC0XP135889","0.77","/cgi-bin/carddisp.pl?gene=SAGE1"
"C6orf62","Chromosome 6 Open Reading Frame 62","Protein Coding","44","GC06M024654","0.77","/cgi-bin/carddisp.pl?gene=C6orf62"
"ASNSD1","Asparagine Synthetase Domain Containing 1","Protein Coding","44","GC02P189661","0.77","/cgi-bin/carddisp.pl?gene=ASNSD1"
"ZNF540","Zinc Finger Protein 540","Protein Coding","44","GC19P037551","0.77","/cgi-bin/carddisp.pl?gene=ZNF540"
"ADPRM","ADP-Ribose/CDP-Alcohol Diphosphatase, Manganese Dependent","Protein Coding","43","GC17P010600","0.77","/cgi-bin/carddisp.pl?gene=ADPRM"
"PRUNE1","Prune Exopolyphosphatase","Protein Coding","41","GC01P151008","0.77","/cgi-bin/carddisp.pl?gene=PRUNE1"
"TVP23C","Trans-Golgi Network Vesicle Protein 23 Homolog C","Protein Coding","39","GC17M015502","0.77","/cgi-bin/carddisp.pl?gene=TVP23C"
"GAREM1","GRB2 Associated Regulator Of MAPK1 Subtype 1","Protein Coding","37","GC18M032125","0.77","/cgi-bin/carddisp.pl?gene=GAREM1"
"KIR2DS2","Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 2","Protein Coding","37","GC19Ms00194","0.77","/cgi-bin/carddisp.pl?gene=KIR2DS2"
"TERC","Telomerase RNA Component","RNA Gene","34","GC03M169765","0.77","/cgi-bin/carddisp.pl?gene=TERC"
"GAREM2","GRB2 Associated Regulator Of MAPK1 Subtype 2","Protein Coding","33","GC02P026174","0.77","/cgi-bin/carddisp.pl?gene=GAREM2"
"MIR145","MicroRNA 145","RNA Gene","22","GC05P149430","0.77","/cgi-bin/carddisp.pl?gene=MIR145"
"MIRLET7A1","MicroRNA Let-7a-1","RNA Gene","22","GC09P094175","0.77","/cgi-bin/carddisp.pl?gene=MIRLET7A1"
"MIR10B","MicroRNA 10b","RNA Gene","22","GC02P176150","0.77","/cgi-bin/carddisp.pl?gene=MIR10B"
"MIR10A","MicroRNA 10a","RNA Gene","20","GC17M048579","0.77","/cgi-bin/carddisp.pl?gene=MIR10A"
"MIR137","MicroRNA 137","RNA Gene","18","GC01M098046","0.77","/cgi-bin/carddisp.pl?gene=MIR137"
"MIR335","MicroRNA 335","RNA Gene","17","GC07P130496","0.77","/cgi-bin/carddisp.pl?gene=MIR335"
"MIR338","MicroRNA 338","RNA Gene","17","GC17M081126","0.77","/cgi-bin/carddisp.pl?gene=MIR338"
"HAGLR","HOXD Antisense Growth-Associated Long Non-Coding RNA","RNA Gene","13","GC02M176173","0.77","/cgi-bin/carddisp.pl?gene=HAGLR"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","81","GC10M121401","0.54","/cgi-bin/carddisp.pl?gene=FGFR2"
"PIK3CD","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta","Protein Coding","79","GC01P009711","0.54","/cgi-bin/carddisp.pl?gene=PIK3CD"
"HGF","Hepatocyte Growth Factor","Protein Coding","77","GC07M081699","0.54","/cgi-bin/carddisp.pl?gene=HGF"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","77","GC12P056079","0.54","/cgi-bin/carddisp.pl?gene=ERBB3"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","77","GC01M042925","0.54","/cgi-bin/carddisp.pl?gene=SLC2A1"
"CYP3A4","Cytochrome P450 Family 3 Subfamily A Member 4","Protein Coding","77","GC07M099759","0.54","/cgi-bin/carddisp.pl?gene=CYP3A4"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1, Cytosolic","Protein Coding","76","GC02M208236","0.54","/cgi-bin/carddisp.pl?gene=IDH1"
"RPS6KA3","Ribosomal Protein S6 Kinase A3","Protein Coding","76","GC0XM020149","0.54","/cgi-bin/carddisp.pl?gene=RPS6KA3"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","76","GC05M143241","0.54","/cgi-bin/carddisp.pl?gene=NR3C1"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","76","GC19P011061","0.54","/cgi-bin/carddisp.pl?gene=LDLR"
"VDR","Vitamin D (1,25- Dihydroxyvitamin D3) Receptor","Protein Coding","76","GC12M047841","0.54","/cgi-bin/carddisp.pl?gene=VDR"
"TLR4","Toll Like Receptor 4","Protein Coding","76","GC09P117704","0.54","/cgi-bin/carddisp.pl?gene=TLR4"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","76","GC03P030623","0.54","/cgi-bin/carddisp.pl?gene=TGFBR2"
"DDR2","Discoidin Domain Receptor Tyrosine Kinase 2","Protein Coding","76","GC01P162631","0.54","/cgi-bin/carddisp.pl?gene=DDR2"
"RPS6KA1","Ribosomal Protein S6 Kinase A1","Protein Coding","75","GC01P026540","0.54","/cgi-bin/carddisp.pl?gene=RPS6KA1"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","75","GC03P148697","0.54","/cgi-bin/carddisp.pl?gene=AGTR1"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","75","GC07P150990","0.54","/cgi-bin/carddisp.pl?gene=NOS3"
"PRKCQ","Protein Kinase C Theta","Protein Coding","75","GC10M006473","0.54","/cgi-bin/carddisp.pl?gene=PRKCQ"
"LDHA","Lactate Dehydrogenase A","Protein Coding","75","GC11P018415","0.54","/cgi-bin/carddisp.pl?gene=LDHA"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","74","GC19P010270","0.54","/cgi-bin/carddisp.pl?gene=ICAM1"
"ADK","Adenosine Kinase","Protein Coding","74","GC10P074152","0.54","/cgi-bin/carddisp.pl?gene=ADK"
"HK1","Hexokinase 1","Protein Coding","74","GC10P069269","0.54","/cgi-bin/carddisp.pl?gene=HK1"
"CBL","Cbl Proto-Oncogene","Protein Coding","74","GC11P119206","0.54","/cgi-bin/carddisp.pl?gene=CBL"
"EP300","E1A Binding Protein P300","Protein Coding","74","GC22P041091","0.54","/cgi-bin/carddisp.pl?gene=EP300"
"FASN","Fatty Acid Synthase","Protein Coding","74","GC17M082078","0.54","/cgi-bin/carddisp.pl?gene=FASN"
"UBE2I","Ubiquitin Conjugating Enzyme E2 I","Protein Coding","74","GC16P001310","0.54","/cgi-bin/carddisp.pl?gene=UBE2I"
"SERPINE1","Serpin Family E Member 1","Protein Coding","74","GC07P101127","0.54","/cgi-bin/carddisp.pl?gene=SERPINE1"
"PRKCI","Protein Kinase C Iota","Protein Coding","74","GC03P170222","0.54","/cgi-bin/carddisp.pl?gene=PRKCI"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","73","GC17P047254","0.54","/cgi-bin/carddisp.pl?gene=ITGB3"
"SCN5A","Sodium Voltage-Gated Channel Alpha Subunit 5","Protein Coding","73","GC03M038549","0.54","/cgi-bin/carddisp.pl?gene=SCN5A"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","73","GC21M044885","0.54","/cgi-bin/carddisp.pl?gene=ITGB2"
"NEK2","NIMA Related Kinase 2","Protein Coding","73","GC01M211658","0.54","/cgi-bin/carddisp.pl?gene=NEK2"
"MMP7","Matrix Metallopeptidase 7","Protein Coding","73","GC11M102425","0.54","/cgi-bin/carddisp.pl?gene=MMP7"
"PPIB","Peptidylprolyl Isomerase B","Protein Coding","73","GC15M064155","0.54","/cgi-bin/carddisp.pl?gene=PPIB"
"CD4","CD4 Molecule","Protein Coding","73","GC12P006786","0.54","/cgi-bin/carddisp.pl?gene=CD4"
"HDAC4","Histone Deacetylase 4","Protein Coding","73","GC02M239048","0.54","/cgi-bin/carddisp.pl?gene=HDAC4"
"WNT10B","Wnt Family Member 10B","Protein Coding","73","GC12M048965","0.54","/cgi-bin/carddisp.pl?gene=WNT10B"
"CREBBP","CREB Binding Protein","Protein Coding","73","GC16M003726","0.54","/cgi-bin/carddisp.pl?gene=CREBBP"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","73","GC15M051208","0.54","/cgi-bin/carddisp.pl?gene=CYP19A1"
"DNM1","Dynamin 1","Protein Coding","73","GC09P128203","0.54","/cgi-bin/carddisp.pl?gene=DNM1"
"SIRT1","Sirtuin 1","Protein Coding","73","GC10P067884","0.54","/cgi-bin/carddisp.pl?gene=SIRT1"
"DLD","Dihydrolipoamide Dehydrogenase","Protein Coding","73","GC07P107890","0.54","/cgi-bin/carddisp.pl?gene=DLD"
"ALDH2","Aldehyde Dehydrogenase 2 Family (Mitochondrial)","Protein Coding","72","GC12P111766","0.54","/cgi-bin/carddisp.pl?gene=ALDH2"
"GABRA1","Gamma-Aminobutyric Acid Type A Receptor Alpha1 Subunit","Protein Coding","72","GC05P161847","0.54","/cgi-bin/carddisp.pl?gene=GABRA1"
